"id","code","name","style","register_date"
33,"163801","中银中国混合(LOF)","大盘成长","2005-01-04"
52,"100029","富国天成红利混合","大盘成长","2008-05-28"
70,"310328","申万菱信新动力混合","大盘成长","2005-11-10"
62,"000031","华夏复兴混合","大盘成长","2007-09-10"
86,"340008","兴全有机增长混合","大盘成长","2009-03-25"
1,"162703","广发小盘成长混合(LOF)A","大盘成长","2005-02-02"
34,"360006","光大保德信新增长混合","大盘成长","2006-09-14"
35,"450003","富兰克林国海潜力组合混合A 人民币","大盘成长","2007-03-22"
2,"260108","景顺长城新兴成长混合","大盘成长","2006-06-28"
36,"217005","招商先锋混合","大盘成长","2004-06-01"
63,"200007","长城安心回报混合","大盘成长","2006-08-22"
3,"162605","景顺长城鼎益混合(LOF)","大盘成长","2005-03-16"
4,"161606","融通行业景气混合A/B","大盘成长","2004-04-29"
6,"161706","招商优质成长混合 (LOF)","大盘成长","2005-11-17"
37,"161005","富国天惠成长混合(LOF)A","大盘成长","2005-11-16"
5,"460005","华泰柏瑞价值增长混合","大盘成长","2008-07-16"
39,"519700","交银主题优选混合","大盘成长","2010-06-30"
38,"110015","易方达行业领先混合","大盘成长","2009-03-26"
64,"202003","南方绩优成长混合A","大盘成长","2006-11-16"
7,"100020","富国天益价值混合","大盘成长","2004-06-15"
40,"151001","银河稳健混合","大盘成长","2003-08-04"
9,"121005","国投瑞银创新动力混合","大盘成长","2006-11-15"
8,"110011","易方达中小盘混合","大盘成长","2008-06-19"
65,"090004","大成精选增值混合","大盘成长","2004-12-15"
14,"519688","交银精选混合","大盘成长","2005-09-29"
11,"519035","富国天博创新混合","大盘成长","2007-04-27"
10,"180012","银华富裕主题混合","大盘成长","2006-11-16"
41,"519066","汇添富蓝筹稳健混合","大盘成长","2008-07-08"
42,"519068","汇添富成长焦点混合","大盘成长","2007-03-12"
66,"519017","大成积极成长混合","大盘成长","2007-01-16"
12,"610002","信达澳银精华配置混合","大盘成长","2008-07-30"
67,"519692","交银成长混合A","大盘成长","2006-10-23"
43,"240009","华宝先进成长混合","大盘成长","2006-11-07"
13,"310308","申万菱信盛利精选混合","大盘成长","2004-04-09"
44,"202011","南方优选价值混合A","大盘成长","2008-06-18"
68,"200008","长城品牌优选混合","大盘成长","2007-08-06"
15,"519697","交银优势行业混合","中盘成长","2009-01-21"
45,"519008","汇添富优势精选混合","大盘成长","2005-08-25"
17,"470008","汇添富策略回报混合","大盘成长","2009-12-22"
69,"470009","汇添富民营活力混合A","大盘成长","2010-05-05"
16,"240001","华宝宝康消费品混合","大盘成长","2003-07-15"
46,"519003","海富通收益增长混合","大盘成长","2004-03-12"
47,"160607","鹏华价值优势混合(LOF)","大盘成长","2006-07-18"
18,"260104","景顺长城内需增长混合","大盘成长","2004-06-25"
22,"260109","景顺长城内需增长贰号混合","大盘成长","2006-10-11"
61,"398001","中海优质成长混合","大盘成长","2004-09-28"
19,"163406","兴全合润分级混合","大盘成长","2010-04-22"
48,"040004","华安宝利配置混合","大盘成长","2004-08-24"
71,"162607","景顺长城资源垄断混合(LOF)","大盘成长","2006-01-26"
20,"270021","广发聚瑞混合","大盘成长","2009-06-16"
21,"162006","长城久富核心成长混合(LOF)","大盘成长","2007-02-12"
29,"519694","交银蓝筹混合","大盘成长","2007-08-08"
30,"110013","易方达科翔混合","大盘成长","2008-11-13"
25,"166006","中欧行业成长混合(LOF) -A","大盘成长","2009-12-30"
26,"163804","中银收益混合A","中盘成长","2006-10-11"
27,"020010","国泰金牛创新混合","中盘成长","2007-05-18"
49,"160916","大成优选混合(LOF)","大盘成长","2012-07-27"
72,"260103","景顺长城动力平衡混合","大盘成长","2003-10-24"
23,"519670","银河行业混合","大盘成长","2009-04-24"
73,"202001","南方稳健成长混合","大盘成长","2001-09-28"
50,"040005","华安宏利混合","大盘成长","2006-09-06"
24,"213006","宝盈核心优势灵活配置混合A","大盘成长","2009-03-17"
51,"166001","中欧新趋势混合(LOF) -A","大盘成长","2007-01-29"
80,"450002","国富弹性市值混合","大盘成长","2006-06-14"
54,"166002","中欧新蓝筹混合 -A","大盘成长","2008-07-25"
53,"070019","嘉实价值优势混合","大盘成长","2010-06-07"
55,"100026","富国天合稳健混合","大盘成长","2006-11-15"
56,"460001","华泰柏瑞盛世中国混合","大盘成长","2005-04-27"
28,"100022","富国天瑞强势地区精选混合","大盘成长","2005-04-05"
79,"110001","易方达平稳增长混合","大盘成长","2002-08-23"
74,"202002","南方稳健成长贰号混合","大盘成长","2006-07-25"
89,"090001","大成价值增长混合","大盘成长","2002-11-11"
57,"163402","兴全趋势投资混合(LOF)","大盘成长","2005-11-03"
75,"260110","景顺长城精选蓝筹混合","大盘成长","2007-06-18"
77,"150103","银河银泰混合","大盘成长","2004-03-30"
76,"519069","汇添富价值精选混合A","大盘成长","2009-01-23"
31,"070099","嘉实优质企业混合","大盘成长","2007-12-08"
58,"110003","易方达上证50指数A","大盘成长","2004-03-22"
59,"270002","广发稳健增长混合A","大盘成长","2004-07-26"
32,"570001","诺德价值优势混合","大盘成长","2007-04-19"
